"Date/Time","Lat","Lon"
"4/4/2014 17:58:00",40.7715,-73.9567
"4/4/2014 18:00:00",40.7326,-74.0081
"4/4/2014 18:04:00",40.7028,-73.9907
"4/4/2014 18:28:00",40.7234,-74.0018
"4/4/2014 18:59:00",40.8082,-73.9425
"4/4/2014 19:33:00",40.7639,-73.9978
"4/4/2014 20:07:00",40.7273,-73.9865
"4/4/2014 20:29:00",40.7383,-73.9856
"4/4/2014 20:33:00",40.6483,-73.7824
"4/4/2014 20:34:00",40.7446,-73.991
"4/4/2014 22:23:00",40.728,-74.0001
"4/4/2014 23:14:00",40.7213,-73.9947
"4/5/2014 0:04:00",40.7073,-74.0088
"4/5/2014 0:04:00",40.7566,-73.9975
"4/5/2014 2:50:00",40.725,-73.9843
"4/5/2014 3:32:00",40.7158,-74.0429
"4/5/2014 6:28:00",40.7249,-74.0358
"4/5/2014 7:33:00",40.7238,-73.9946
"4/5/2014 7:58:00",40.7463,-73.9911
"4/5/2014 9:01:00",40.7666,-73.9687
"4/5/2014 9:36:00",40.7669,-73.9697
"4/5/2014 10:20:00",40.7749,-73.9909
"4/5/2014 11:16:00",40.7597,-73.97
"4/5/2014 11:52:00",40.7592,-73.9865
"4/5/2014 11:55:00",40.7272,-74.0344
"4/5/2014 13:26:00",40.7647,-73.9705
"4/5/2014 13:38:00",40.7591,-73.9953
"4/5/2014 13:55:00",40.765,-73.9806
"4/5/2014 15:26:00",40.693,-73.9979
"4/5/2014 15:29:00",40.7657,-73.969
"4/5/2014 15:53:00",40.724,-74.0024
"4/5/2014 16:38:00",40.6919,-73.9966
"4/5/2014 16:42:00",40.7465,-74.0084
"4/5/2014 16:50:00",40.7875,-73.9677
"4/5/2014 18:43:00",40.7516,-74.0284
"4/5/2014 19:02:00",40.7453,-74.0007
"4/5/2014 21:18:00",40.7319,-74.0034
"4/5/2014 21:31:00",40.7599,-73.9901
"4/5/2014 21:55:00",40.7431,-74.0293
"4/5/2014 22:17:00",40.7314,-74.0013
"4/5/2014 22:30:00",40.7471,-73.9871
"4/5/2014 22:46:00",40.7566,-73.9706
"4/5/2014 23:25:00",40.7163,-73.9414
"4/5/2014 23:30:00",40.7262,-73.992
"4/5/2014 23:36:00",40.7423,-74.0064
"4/5/2014 23:38:00",40.7399,-74.0024
"4/5/2014 23:43:00",40.7756,-73.9838
"4/6/2014 0:01:00",40.7197,-74.0106
"4/6/2014 1:04:00",40.7396,-74.0063
"4/6/2014 1:23:00",40.7265,-73.9955
"4/6/2014 1:25:00",40.7367,-74.0299
"4/6/2014 2:24:00",40.7192,-73.9914
"4/6/2014 2:58:00",40.7219,-73.996
"4/6/2014 4:41:00",40.6345,-73.9061
"4/6/2014 8:22:00",40.7579,-73.9892
"4/6/2014 10:05:00",40.7415,-73.9239
"4/6/2014 10:39:00",40.7159,-74.0155
"4/6/2014 10:44:00",40.8804,-73.8838
"4/6/2014 11:02:00",40.7385,-73.9862
"4/6/2014 11:52:00",40.6883,-73.9583
"4/6/2014 14:08:00",40.78,-73.9609
"4/6/2014 14:36:00",40.7747,-73.9638
"4/6/2014 14:43:00",40.7787,-73.9869
"4/6/2014 18:05:00",40.6465,-73.777
"4/6/2014 19:12:00",40.7615,-73.9684
"4/6/2014 19:30:00",40.7195,-74.0432
"4/7/2014 6:30:00",40.7489,-74.4943
"4/7/2014 6:48:00",40.7669,-73.9593
"4/7/2014 6:52:00",40.7469,-74.0044
"4/7/2014 10:31:00",40.7447,-73.9797
"4/7/2014 10:32:00",40.7751,-73.961
"4/7/2014 10:45:00",40.7197,-74.0105
"4/7/2014 11:41:00",40.7434,-73.9748
"4/7/2014 11:53:00",40.753,-74.004
"4/7/2014 12:32:00",40.7601,-73.9854
"4/7/2014 12:39:00",40.7274,-74.0013
"4/7/2014 12:44:00",40.7249,-74.0094
"4/7/2014 12:50:00",40.7415,-74.0065
"4/7/2014 12:50:00",40.8005,-74.2424
"4/7/2014 13:11:00",40.688,-74.1829
"4/7/2014 14:56:00",40.7533,-73.9694
"4/7/2014 15:59:00",40.6941,-73.968
"4/7/2014 16:48:00",40.7174,-73.9997
"4/7/2014 17:09:00",40.7741,-73.8723
"4/7/2014 17:49:00",40.7835,-73.9513
"4/7/2014 18:02:00",40.7634,-73.9776
"4/7/2014 18:12:00",40.7507,-73.9806
"4/7/2014 18:13:00",40.7593,-73.9722
"4/7/2014 18:24:00",40.7593,-73.9944
"4/7/2014 19:08:00",40.7615,-73.9697
"4/7/2014 19:51:00",40.7611,-73.9779
"4/7/2014 20:21:00",40.7066,-74.0084
"4/7/2014 20:21:00",40.7649,-73.982
"4/7/2014 20:28:00",40.6934,-73.9997
"4/7/2014 20:29:00",40.7555,-73.9763
"4/7/2014 21:04:00",40.774,-73.9616
"4/7/2014 23:16:00",40.7561,-73.973
"4/8/2014 6:30:00",40.8115,-74.1038
"4/8/2014 6:42:00",40.7421,-74.0429
"4/8/2014 7:21:00",40.7543,-73.9983
"4/8/2014 7:25:00",40.7319,-73.9963
"4/8/2014 7:27:00",40.7837,-73.9742
"4/8/2014 7:44:00",40.7566,-73.9846
"4/8/2014 8:41:00",40.7733,-73.9571
"4/8/2014 10:01:00",40.7653,-73.9696
"4/8/2014 11:32:00",40.7861,-73.9707
"4/8/2014 12:15:00",40.7711,-73.8662
"4/8/2014 12:44:00",40.6515,-74.3468
"4/8/2014 13:24:00",40.7151,-74.0163
"4/8/2014 13:26:00",40.6972,-73.9706
"4/8/2014 15:23:00",40.7456,-74.0046
"4/8/2014 16:07:00",40.7396,-74.028
"4/8/2014 16:45:00",40.7628,-73.9787
"4/8/2014 16:49:00",40.7382,-73.9807
"4/8/2014 17:11:00",40.7664,-73.9682
"4/8/2014 17:19:00",40.7635,-73.9792
"4/8/2014 18:02:00",40.7097,-74.0112
"4/8/2014 18:27:00",40.744,-73.9897
"4/8/2014 18:45:00",40.7273,-73.992
"4/8/2014 19:10:00",40.7613,-73.9701
"4/8/2014 20:34:00",40.762,-73.9855
"4/8/2014 21:24:00",40.7468,-73.9961
"4/8/2014 22:02:00",40.7315,-73.9948
"4/9/2014 6:58:00",40.7683,-73.8621
"4/9/2014 7:32:00",40.7713,-73.9615
"4/9/2014 7:50:00",40.7245,-74.002
"4/9/2014 7:51:00",40.7735,-73.9642
"4/9/2014 8:01:00",40.7373,-74.0087
"4/9/2014 8:13:00",40.7274,-73.9811
"4/9/2014 8:32:00",40.7619,-74.0008
"4/9/2014 8:39:00",40.759,-73.9945
"4/9/2014 10:20:00",40.742,-74.0038
"4/9/2014 12:00:00",40.8903,-73.9056
"4/9/2014 12:09:00",40.7456,-73.972
"4/9/2014 12:56:00",40.7528,-73.9809
"4/9/2014 14:09:00",40.7854,-73.9558
"4/9/2014 15:13:00",40.7729,-73.9602
"4/9/2014 15:37:00",40.7649,-73.9698
"4/9/2014 16:22:00",40.7607,-73.9714
"4/9/2014 16:55:00",40.7446,-73.9968
"4/9/2014 17:21:00",40.7577,-73.9772
"4/9/2014 17:25:00",40.7527,-73.9792
"4/9/2014 17:37:00",40.7936,-73.9633
"4/9/2014 17:39:00",40.7755,-73.9603
"4/9/2014 17:40:00",40.7611,-73.969
"4/9/2014 18:11:00",40.7438,-74.0062
"4/9/2014 18:24:00",40.7392,-73.9935
"4/9/2014 18:26:00",40.747,-73.9854
